,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,to_away
169,0.461,0.821,0.419,26.0,48.0,11.0
170,0.5,0.682,0.444,26.0,42.0,12.0
171,0.5,0.857,0.259,20.0,45.0,7.0
172,0.488,0.667,0.379,28.0,37.0,20.0
173,0.475,0.591,0.419,18.0,35.0,18.0
174,0.378,0.813,0.184,21.0,47.0,10.0
175,0.37,0.913,0.316,16.0,47.0,19.0
176,0.459,0.76,0.364,25.0,37.0,17.0
177,0.462,0.88,0.273,21.0,50.0,14.0
178,0.532,0.857,0.313,26.0,45.0,15.0
179,0.41,0.813,0.347,29.0,49.0,9.0
180,0.443,0.682,0.364,27.0,42.0,13.0
181,0.575,0.85,0.426,36.0,47.0,14.0
182,0.383,0.826,0.214,23.0,39.0,11.0
183,0.488,0.895,0.273,28.0,46.0,12.0
184,0.537,0.788,0.25,23.0,29.0,4.0
185,0.429,0.848,0.286,14.0,41.0,13.0
186,0.484,0.742,0.375,32.0,50.0,10.0
187,0.649,0.815,0.407,32.0,43.0,14.0
188,0.513,0.64,0.415,23.0,32.0,13.0
189,0.479,0.792,0.282,28.0,34.0,13.0
190,0.392,0.826,0.227,19.0,41.0,15.0
191,0.58,0.865,0.515,25.0,39.0,10.0
192,0.506,0.76,0.406,20.0,40.0,12.0
193,0.427,0.944,0.22,24.0,45.0,17.0
194,0.476,0.833,0.389,25.0,47.0,15.0
195,0.494,0.745,0.313,24.0,48.0,12.0
196,0.414,0.885,0.25,20.0,45.0,18.0
197,0.534,0.8,0.366,27.0,38.0,9.0
198,0.43,0.8,0.282,27.0,45.0,12.0
199,0.476,0.806,0.385,14.0,28.0,21.0
200,0.43,0.871,0.323,26.0,41.0,14.0
201,0.391,0.846,0.364,12.0,41.0,13.0
202,0.436,0.826,0.364,25.0,47.0,13.0
203,0.482,0.85,0.296,28.0,49.0,16.0
204,0.424,0.938,0.346,21.0,49.0,18.0
205,0.474,0.882,0.244,28.0,42.0,13.0
206,0.494,0.696,0.333,27.0,37.0,14.0
207,0.442,0.889,0.237,20.0,45.0,15.0
208,0.449,1.0,0.419,28.0,32.0,16.0
209,0.61,0.765,0.364,31.0,50.0,13.0
210,0.461,0.714,0.29,27.0,48.0,18.0
211,0.537,0.619,0.355,20.0,35.0,14.0
212,0.472,0.579,0.263,27.0,43.0,14.0
213,0.549,0.714,0.447,32.0,39.0,13.0
214,0.494,0.778,0.429,30.0,35.0,19.0
215,0.477,0.805,0.368,31.0,55.0,9.0
216,0.573,0.7,0.424,33.0,42.0,18.0
217,0.494,0.926,0.5,24.0,38.0,7.0
218,0.453,0.667,0.379,22.0,43.0,16.0
219,0.55,0.692,0.321,31.0,35.0,9.0
220,0.433,0.741,0.333,27.0,45.0,18.0
221,0.511,0.857,0.286,27.0,40.0,16.0
222,0.424,0.829,0.182,19.0,45.0,15.0
223,0.437,0.882,0.324,24.0,35.0,19.0
224,0.424,0.76,0.314,20.0,38.0,21.0
225,0.437,0.706,0.38,28.0,38.0,11.0
226,0.473,0.789,0.276,19.0,40.0,15.0
227,0.389,0.667,0.289,26.0,46.0,18.0
228,0.378,0.895,0.233,17.0,34.0,26.0
229,0.526,0.8,0.324,21.0,48.0,14.0
230,0.449,0.917,0.316,22.0,45.0,17.0
231,0.4,0.8,0.28,20.0,39.0,13.0
232,0.39,0.696,0.25,19.0,51.0,13.0
233,0.528,0.87,0.517,20.0,35.0,12.0
234,0.434,0.548,0.324,28.0,44.0,10.0
235,0.388,0.864,0.194,17.0,30.0,16.0
236,0.535,0.733,0.511,38.0,40.0,12.0
237,0.474,0.789,0.333,22.0,44.0,15.0
238,0.39,0.3,0.206,26.0,44.0,10.0
239,0.444,0.818,0.216,27.0,51.0,13.0
240,0.471,0.833,0.333,28.0,43.0,22.0
241,0.462,0.87,0.359,23.0,42.0,13.0
242,0.414,0.857,0.269,22.0,43.0,15.0
243,0.357,0.781,0.256,23.0,53.0,15.0
244,0.4,0.833,0.318,24.0,53.0,14.0
245,0.456,0.381,0.333,22.0,42.0,18.0
246,0.494,0.909,0.429,25.0,41.0,16.0
247,0.402,0.778,0.293,25.0,45.0,15.0
248,0.469,0.818,0.324,34.0,43.0,11.0
249,0.422,0.722,0.333,24.0,36.0,11.0
250,0.482,0.882,0.435,28.0,46.0,11.0
251,0.521,0.929,0.3,29.0,42.0,16.0
252,0.345,0.941,0.265,16.0,45.0,16.0
253,0.467,0.75,0.324,27.0,37.0,11.0
254,0.506,0.783,0.379,32.0,47.0,9.0
255,0.548,0.75,0.423,29.0,32.0,18.0
256,0.375,0.792,0.194,15.0,43.0,12.0
257,0.537,0.839,0.393,27.0,34.0,17.0
258,0.523,0.786,0.333,28.0,40.0,16.0
259,0.543,0.654,0.516,24.0,37.0,19.0
260,0.545,0.9,0.457,29.0,49.0,14.0
261,0.545,0.864,0.371,19.0,23.0,14.0
262,0.429,0.824,0.429,22.0,34.0,14.0
263,0.494,0.647,0.344,25.0,37.0,12.0
264,0.467,0.875,0.455,21.0,56.0,20.0
265,0.44,0.774,0.235,24.0,40.0,7.0
266,0.457,1.0,0.429,30.0,40.0,15.0
267,0.413,0.68,0.257,16.0,51.0,11.0
268,0.531,0.808,0.429,23.0,40.0,21.0
269,0.473,0.76,0.344,26.0,43.0,20.0
270,0.518,0.765,0.31,34.0,38.0,19.0
271,0.494,0.909,0.393,25.0,29.0,16.0
272,0.488,0.964,0.296,27.0,42.0,19.0
273,0.477,0.875,0.2,22.0,37.0,12.0
274,0.48,0.81,0.367,21.0,51.0,19.0
275,0.485,0.5,0.389,22.0,45.0,11.0
276,0.506,0.788,0.368,25.0,44.0,16.0
277,0.478,0.867,0.35,23.0,45.0,15.0
278,0.36,0.684,0.25,18.0,53.0,18.0
279,0.625,0.9,0.548,31.0,38.0,19.0
280,0.561,0.735,0.5,30.0,47.0,13.0
281,0.396,0.7,0.321,21.0,51.0,15.0
282,0.394,0.565,0.297,23.0,50.0,17.0
283,0.6,0.81,0.481,33.0,36.0,16.0
284,0.467,0.938,0.34,27.0,43.0,15.0
285,0.45,0.774,0.259,22.0,41.0,12.0
286,0.482,0.667,0.457,27.0,41.0,12.0
287,0.468,0.909,0.35,33.0,42.0,9.0
288,0.429,0.875,0.375,27.0,42.0,14.0
289,0.394,0.793,0.2,14.0,43.0,12.0
290,0.449,0.852,0.25,20.0,43.0,12.0
291,0.511,0.875,0.29,25.0,37.0,12.0
292,0.45,0.771,0.419,20.0,44.0,12.0
293,0.506,0.778,0.333,24.0,43.0,26.0
294,0.457,0.8,0.414,26.0,38.0,5.0
295,0.4,0.889,0.31,22.0,38.0,11.0
296,0.463,0.756,0.226,22.0,43.0,15.0
297,0.432,0.722,0.367,20.0,39.0,16.0
298,0.327,0.739,0.279,22.0,48.0,19.0
299,0.468,0.864,0.333,29.0,33.0,13.0
300,0.402,0.731,0.267,25.0,46.0,14.0
301,0.517,0.857,0.333,27.0,40.0,15.0
302,0.43,0.619,0.383,19.0,41.0,17.0
303,0.386,0.833,0.2,15.0,45.0,17.0
304,0.489,0.6,0.359,23.0,50.0,20.0
305,0.435,0.769,0.353,25.0,46.0,8.0
306,0.376,0.632,0.262,17.0,29.0,18.0
307,0.533,0.56,0.324,28.0,45.0,11.0
308,0.489,0.923,0.429,27.0,47.0,18.0
309,0.468,0.833,0.436,27.0,47.0,13.0
310,0.416,0.775,0.212,15.0,48.0,10.0
311,0.322,0.654,0.279,21.0,46.0,15.0
312,0.44,0.839,0.257,29.0,49.0,13.0
313,0.5,0.778,0.158,20.0,50.0,15.0
314,0.485,0.95,0.457,31.0,36.0,11.0
315,0.472,0.864,0.472,27.0,55.0,13.0
316,0.51,0.769,0.438,24.0,53.0,19.0
317,0.455,0.647,0.313,26.0,43.0,15.0
318,0.535,0.85,0.423,24.0,42.0,9.0
319,0.525,0.633,0.263,21.0,47.0,10.0
320,0.529,0.72,0.5,31.0,40.0,19.0
321,0.402,0.647,0.303,23.0,46.0,14.0
322,0.495,0.706,0.412,32.0,43.0,17.0
323,0.438,0.818,0.316,19.0,37.0,13.0
324,0.414,0.813,0.325,21.0,41.0,18.0
325,0.528,0.857,0.432,27.0,37.0,18.0
326,0.424,0.727,0.321,24.0,31.0,14.0
327,0.463,0.75,0.324,26.0,45.0,11.0
328,0.438,0.92,0.396,26.0,43.0,16.0
329,0.534,0.65,0.333,33.0,40.0,24.0
330,0.438,0.737,0.345,22.0,34.0,13.0
331,0.407,0.862,0.35,24.0,43.0,10.0
332,0.488,0.9,0.375,15.0,33.0,14.0
333,0.518,0.714,0.485,29.0,48.0,9.0
334,0.44,0.889,0.25,19.0,48.0,16.0
335,0.455,0.846,0.361,27.0,46.0,9.0
336,0.427,0.7,0.195,25.0,49.0,10.0
337,0.467,0.962,0.375,18.0,42.0,20.0
338,0.505,0.654,0.375,24.0,36.0,14.0
339,0.393,0.909,0.333,23.0,41.0,15.0
340,0.435,0.714,0.304,23.0,59.0,16.0
341,0.534,1.0,0.529,30.0,34.0,13.0
342,0.429,0.625,0.343,22.0,38.0,15.0
343,0.476,0.677,0.421,27.0,33.0,24.0
344,0.488,0.579,0.4,28.0,28.0,15.0
345,0.38,0.625,0.467,22.0,40.0,17.0
346,0.543,0.813,0.423,30.0,47.0,18.0
347,0.383,1.0,0.282,17.0,42.0,19.0
348,0.463,0.852,0.273,24.0,50.0,15.0
349,0.556,1.0,0.5,32.0,48.0,13.0
350,0.518,0.88,0.393,21.0,37.0,17.0
351,0.384,0.806,0.296,22.0,41.0,18.0
352,0.525,0.737,0.455,26.0,44.0,13.0
353,0.443,0.84,0.324,20.0,44.0,19.0
354,0.493,0.92,0.375,23.0,29.0,22.0
355,0.482,0.571,0.447,29.0,51.0,16.0
356,0.506,0.8,0.435,30.0,42.0,17.0
357,0.505,0.9,0.425,31.0,48.0,8.0
358,0.515,0.667,0.442,31.0,35.0,19.0
359,0.536,0.875,0.581,32.0,47.0,10.0
360,0.577,0.813,0.238,27.0,43.0,7.0
361,0.409,0.963,0.268,26.0,52.0,11.0
362,0.477,0.857,0.361,29.0,39.0,12.0
363,0.411,0.75,0.353,28.0,51.0,16.0
364,0.391,0.563,0.219,22.0,47.0,16.0
365,0.488,0.789,0.364,20.0,43.0,14.0
366,0.418,0.933,0.355,18.0,35.0,21.0
367,0.538,0.938,0.424,31.0,50.0,11.0
368,0.464,0.857,0.333,28.0,40.0,16.0
369,0.458,0.815,0.464,28.0,46.0,14.0
370,0.461,0.714,0.32,35.0,51.0,17.0
371,0.438,0.857,0.4,20.0,44.0,18.0
372,0.464,0.765,0.367,31.0,41.0,15.0
373,0.448,1.0,0.345,20.0,49.0,15.0
374,0.425,0.833,0.382,24.0,42.0,9.0
375,0.435,0.857,0.386,26.0,42.0,20.0
376,0.554,0.7,0.4,26.0,37.0,15.0
377,0.471,0.696,0.282,23.0,38.0,24.0
378,0.464,0.8,0.379,28.0,37.0,6.0
379,0.446,0.857,0.276,19.0,43.0,12.0
380,0.413,0.548,0.231,14.0,52.0,16.0
381,0.386,0.739,0.286,17.0,44.0,13.0
382,0.495,0.625,0.417,32.0,50.0,14.0
383,0.388,0.688,0.219,22.0,51.0,8.0
384,0.489,0.5,0.37,26.0,45.0,14.0
385,0.424,0.96,0.308,23.0,42.0,15.0
386,0.404,0.7,0.138,21.0,45.0,19.0
387,0.457,0.741,0.379,20.0,47.0,12.0
388,0.437,0.846,0.324,18.0,49.0,11.0
389,0.427,0.722,0.375,24.0,48.0,8.0
390,0.427,0.839,0.393,18.0,34.0,20.0
391,0.44,0.75,0.295,31.0,49.0,10.0
392,0.426,0.846,0.5,31.0,53.0,10.0
393,0.494,0.815,0.483,28.0,41.0,17.0
394,0.479,0.8,0.448,19.0,42.0,11.0
395,0.494,0.774,0.2,25.0,47.0,15.0
396,0.568,0.733,0.444,24.0,40.0,20.0
397,0.567,0.778,0.414,31.0,45.0,10.0
398,0.384,0.667,0.289,21.0,47.0,14.0
399,0.517,0.765,0.457,18.0,42.0,15.0
400,0.524,0.909,0.421,25.0,41.0,17.0
401,0.506,0.909,0.517,30.0,41.0,13.0
402,0.398,0.688,0.343,19.0,54.0,12.0
403,0.416,0.704,0.31,20.0,55.0,10.0
404,0.475,0.808,0.333,20.0,42.0,20.0
405,0.418,0.789,0.256,24.0,38.0,9.0
406,0.442,0.909,0.405,25.0,33.0,12.0
407,0.426,0.81,0.368,23.0,39.0,15.0
408,0.506,0.771,0.5,25.0,37.0,13.0
409,0.537,0.722,0.321,21.0,44.0,11.0
410,0.443,0.818,0.326,25.0,31.0,12.0
411,0.533,0.722,0.424,27.0,43.0,12.0
412,0.432,0.762,0.25,19.0,43.0,16.0
413,0.495,0.8,0.364,22.0,46.0,13.0
414,0.495,0.667,0.419,31.0,42.0,15.0
415,0.506,0.684,0.444,29.0,34.0,9.0
416,0.395,0.8,0.259,23.0,37.0,14.0
417,0.43,0.792,0.4,31.0,38.0,16.0
418,0.453,0.909,0.444,34.0,41.0,16.0
419,0.383,0.75,0.275,19.0,49.0,15.0
420,0.444,0.688,0.267,25.0,47.0,14.0
421,0.506,0.842,0.395,34.0,46.0,19.0
422,0.409,0.76,0.286,12.0,41.0,13.0
423,0.5,0.708,0.308,18.0,37.0,11.0
424,0.422,0.778,0.323,21.0,47.0,5.0
425,0.451,0.765,0.286,28.0,40.0,13.0
426,0.422,0.783,0.273,27.0,47.0,7.0
427,0.395,0.8,0.438,22.0,52.0,12.0
428,0.419,0.852,0.2,14.0,41.0,12.0
429,0.37,0.833,0.375,26.0,45.0,13.0
430,0.473,0.563,0.344,23.0,49.0,20.0
431,0.54,0.808,0.31,27.0,35.0,8.0
432,0.457,0.538,0.324,37.0,50.0,13.0
433,0.495,0.571,0.387,28.0,38.0,8.0
434,0.44,0.815,0.37,19.0,52.0,19.0
435,0.522,0.7,0.423,28.0,52.0,13.0
436,0.494,0.6,0.429,25.0,35.0,18.0
437,0.439,0.821,0.342,29.0,44.0,16.0
438,0.523,0.636,0.294,24.0,54.0,11.0
439,0.47,0.8,0.256,31.0,51.0,16.0
440,0.462,0.917,0.357,29.0,49.0,12.0
441,0.483,0.8,0.421,27.0,43.0,14.0
442,0.389,0.767,0.429,26.0,53.0,13.0
443,0.483,0.821,0.404,24.0,37.0,9.0
444,0.425,0.75,0.359,24.0,37.0,6.0
445,0.565,0.889,0.593,32.0,48.0,10.0
446,0.387,0.773,0.432,20.0,47.0,16.0
447,0.43,0.792,0.273,20.0,29.0,17.0
448,0.447,0.783,0.395,29.0,47.0,12.0
449,0.506,0.909,0.409,24.0,40.0,12.0
450,0.472,0.865,0.364,23.0,53.0,13.0
451,0.543,0.727,0.548,34.0,37.0,17.0
452,0.418,0.818,0.259,19.0,38.0,16.0
453,0.413,0.8,0.235,16.0,44.0,19.0
454,0.488,0.667,0.393,25.0,41.0,13.0
455,0.519,1.0,0.424,17.0,43.0,9.0
456,0.433,0.594,0.25,26.0,49.0,15.0
457,0.459,0.69,0.452,26.0,50.0,12.0
458,0.441,0.667,0.4,39.0,54.0,13.0
459,0.535,0.84,0.441,30.0,41.0,18.0
460,0.457,0.714,0.37,31.0,41.0,18.0
461,0.405,0.643,0.31,24.0,48.0,10.0
462,0.463,0.645,0.31,18.0,58.0,10.0
463,0.488,0.737,0.367,21.0,48.0,12.0
464,0.457,0.792,0.355,21.0,53.0,16.0
465,0.429,0.933,0.257,25.0,54.0,15.0
466,0.49,0.72,0.462,31.0,61.0,16.0
467,0.441,0.75,0.361,23.0,46.0,19.0
468,0.494,0.826,0.357,25.0,38.0,13.0
469,0.404,0.833,0.243,28.0,54.0,13.0
470,0.384,0.818,0.311,22.0,57.0,13.0
471,0.511,0.87,0.448,26.0,51.0,15.0
472,0.482,0.944,0.227,21.0,35.0,19.0
473,0.467,0.618,0.4,17.0,40.0,12.0
474,0.443,0.788,0.393,20.0,44.0,15.0
475,0.5,0.857,0.382,16.0,31.0,14.0
476,0.426,0.76,0.25,23.0,48.0,21.0
477,0.483,0.909,0.462,20.0,51.0,9.0
478,0.461,0.833,0.433,18.0,35.0,15.0
479,0.44,0.875,0.352,25.0,44.0,11.0
480,0.379,0.65,0.222,23.0,40.0,12.0
481,0.42,0.857,0.4,22.0,46.0,15.0
482,0.483,0.667,0.333,33.0,43.0,9.0
483,0.447,0.667,0.362,28.0,36.0,22.0
484,0.507,0.829,0.29,28.0,44.0,15.0
485,0.358,0.645,0.242,18.0,37.0,17.0
486,0.455,0.711,0.219,23.0,51.0,19.0
487,0.465,0.8,0.294,24.0,39.0,12.0
488,0.341,0.844,0.444,17.0,60.0,13.0
489,0.371,0.773,0.268,24.0,49.0,17.0
490,0.481,0.611,0.269,21.0,49.0,23.0
491,0.393,0.813,0.212,24.0,44.0,15.0
492,0.512,0.545,0.3,32.0,41.0,14.0
493,0.423,0.733,0.359,29.0,52.0,12.0
494,0.409,0.655,0.359,24.0,39.0,23.0
495,0.54,0.786,0.435,28.0,44.0,20.0
496,0.523,0.6,0.406,25.0,48.0,15.0
497,0.402,0.815,0.25,19.0,42.0,12.0
498,0.402,0.667,0.314,25.0,35.0,13.0
499,0.477,0.727,0.355,24.0,48.0,16.0
500,0.386,0.73,0.28,18.0,43.0,17.0
501,0.484,0.737,0.387,29.0,36.0,18.0
502,0.44,0.889,0.425,23.0,45.0,10.0
503,0.451,0.706,0.372,27.0,49.0,16.0
504,0.427,0.821,0.324,25.0,43.0,14.0
505,0.506,0.842,0.406,29.0,52.0,14.0
506,0.44,0.842,0.385,28.0,59.0,17.0
507,0.5,0.944,0.436,24.0,38.0,17.0
508,0.403,0.839,0.345,18.0,29.0,20.0
509,0.495,0.857,0.351,32.0,42.0,15.0
510,0.5,0.833,0.484,19.0,36.0,22.0
511,0.438,0.882,0.432,27.0,57.0,10.0
512,0.446,0.731,0.394,26.0,47.0,19.0
513,0.466,0.81,0.412,29.0,40.0,17.0
514,0.434,0.579,0.176,18.0,40.0,19.0
515,0.425,0.864,0.346,29.0,39.0,20.0
516,0.365,0.806,0.286,22.0,45.0,21.0
517,0.459,0.833,0.343,22.0,52.0,16.0
518,0.423,0.81,0.35,22.0,52.0,16.0
519,0.432,0.64,0.306,31.0,46.0,26.0
520,0.444,0.778,0.243,21.0,43.0,21.0
521,0.442,0.769,0.313,29.0,59.0,15.0
522,0.484,0.963,0.2,27.0,53.0,17.0
523,0.462,0.737,0.424,22.0,43.0,15.0
524,0.459,0.72,0.219,22.0,59.0,7.0
525,0.427,0.938,0.317,20.0,44.0,21.0
526,0.371,0.848,0.317,21.0,55.0,11.0
527,0.407,0.739,0.31,19.0,44.0,21.0
528,0.513,0.743,0.394,22.0,39.0,13.0
529,0.495,0.722,0.297,29.0,44.0,26.0
530,0.481,0.676,0.455,24.0,45.0,19.0
531,0.407,0.96,0.341,26.0,56.0,16.0
532,0.393,0.692,0.333,23.0,38.0,25.0
