,result
873,-11.0
874,-14.0
875,-6.0
876,-21.0
877,9.0
878,9.0
879,30.0
880,-6.0
881,-30.0
882,-15.0
883,38.0
884,-6.0
885,6.0
886,-11.0
887,-3.0
888,-3.0
889,21.0
890,-27.0
891,15.0
892,3.0
893,15.0
894,17.0
895,43.0
896,8.0
897,7.0
898,7.0
899,-16.0
900,6.0
901,10.0
902,10.0
903,11.0
904,-13.0
905,8.0
906,8.0
907,-23.0
908,1.0
909,6.0
910,17.0
911,28.0
912,14.0
913,8.0
914,5.0
915,6.0
916,-3.0
917,-6.0
918,-6.0
919,34.0
920,-37.0
921,15.0
922,1.0
923,6.0
924,13.0
925,-6.0
926,-2.0
927,9.0
928,-3.0
929,21.0
930,-21.0
931,-8.0
932,15.0
933,-5.0
934,1.0
935,30.0
936,-12.0
937,30.0
938,3.0
939,9.0
940,1.0
941,-13.0
942,15.0
943,-5.0
944,-5.0
945,16.0
946,-36.0
947,13.0
948,13.0
949,24.0
950,-21.0
951,-16.0
952,-4.0
953,21.0
954,-1.0
955,-1.0
956,-6.0
957,-32.0
958,-28.0
959,-9.0
960,27.0
961,6.0
962,4.0
963,-6.0
964,-3.0
965,5.0
966,32.0
967,-4.0
968,8.0
969,-4.0
970,-15.0
971,-31.0
972,-15.0
973,5.0
974,-3.0
975,3.0
976,-23.0
977,4.0
978,5.0
979,-20.0
980,-37.0
981,-18.0
982,-4.0
983,-14.0
984,-7.0
985,-3.0
986,31.0
987,-21.0
988,-1.0
989,5.0
990,-5.0
991,7.0
992,-4.0
993,-12.0
994,-8.0
995,3.0
996,-1.0
997,5.0
998,8.0
999,-8.0
1000,-48.0
1001,9.0
1002,6.0
1003,-12.0
1004,7.0
1005,9.0
1006,24.0
1007,-4.0
1008,11.0
1009,-15.0
1010,30.0
1011,10.0
1012,34.0
1013,15.0
1014,10.0
1015,-9.0
1016,9.0
1017,-7.0
1018,-13.0
1019,-10.0
1020,10.0
1021,-1.0
1022,4.0
1023,5.0
1024,-2.0
1025,2.0
1026,27.0
1027,-22.0
1028,-7.0
1029,13.0
1030,-15.0
1031,6.0
1032,12.0
1033,15.0
1034,-25.0
1035,1.0
1036,-15.0
1037,-19.0
1038,7.0
1039,24.0
1040,-2.0
1041,13.0
1042,-12.0
1043,-19.0
1044,26.0
1045,2.0
1046,13.0
1047,-5.0
1048,21.0
1049,-35.0
1050,26.0
1051,13.0
1052,30.0
1053,17.0
1054,-15.0
1055,-18.0
1056,-20.0
1057,-15.0
1058,-21.0
1059,-3.0
1060,-12.0
1061,9.0
1062,-11.0
1063,13.0
1064,20.0
1065,13.0
1066,-33.0
1067,9.0
1068,-13.0
1069,-24.0
1070,-20.0
1071,-18.0
1072,-15.0
1073,7.0
1074,-29.0
1075,10.0
1076,-1.0
1077,-9.0
1078,-7.0
1079,11.0
1080,25.0
1081,23.0
1082,-8.0
1083,9.0
1084,-3.0
1085,-17.0
1086,-11.0
1087,7.0
1088,9.0
1089,12.0
1090,1.0
1091,-1.0
1092,-3.0
1093,6.0
1094,-12.0
1095,11.0
1096,-6.0
1097,4.0
1098,11.0
1099,5.0
1100,-10.0
1101,14.0
1102,4.0
1103,11.0
1104,15.0
1105,-4.0
1106,10.0
1107,3.0
1108,6.0
1109,3.0
1110,30.0
1111,20.0
1112,-6.0
1113,-14.0
1114,17.0
1115,8.0
1116,-25.0
1117,14.0
1118,10.0
1119,2.0
1120,-36.0
1121,20.0
1122,5.0
1123,-10.0
1124,27.0
1125,2.0
1126,-4.0
1127,20.0
1128,4.0
1129,16.0
1130,3.0
1131,16.0
1132,-11.0
1133,7.0
1134,-15.0
1135,10.0
1136,-3.0
